0.3um,co2,date,time,weather_idx
804,423,2026-01-13,3.8125,105
771,423,2026-01-13,3.8152777777777778,105
788,423,2026-01-13,3.8180555555555555,105
823,423,2026-01-13,3.8208333333333333,105
753,423,2026-01-13,3.823611111111111,105
815,423,2026-01-13,3.826388888888889,105
864,423,2026-01-13,3.8291666666666666,105
742,423,2026-01-13,3.8319444444444444,105
687,423,2026-01-13,3.8347222222222226,105
777,423,2026-01-13,3.8375000000000004,105
911,423,2026-01-13,3.840277777777778,105
915,423,2026-01-13,3.843055555555556,105
867,423,2026-01-13,3.8458333333333337,105
927,423,2026-01-13,3.8486111111111114,105
767,423,2026-01-13,3.851388888888889,105
674,423,2026-01-13,3.854166666666667,105
892,423,2026-01-13,3.8569444444444447,105
838,423,2026-01-13,3.8597222222222225,105
885,423,2026-01-13,3.8625000000000003,105
865,423,2026-01-13,3.865277777777778,105
807,423,2026-01-13,3.868055555555556,105
904,423,2026-01-13,3.8708333333333336,105
897,423,2026-01-13,3.8736111111111113,105
873,423,2026-01-13,3.876388888888889,105
950,423,2026-01-13,3.879166666666667,105
971,423,2026-01-13,3.8819444444444446,105
733,423,2026-01-13,3.8847222222222224,105
900,423,2026-01-13,3.8875,105
993,423,2026-01-13,3.890277777777778,105
703,423,2026-01-13,3.8930555555555557,105
642,423,2026-01-13,3.8958333333333335,105
845,423,2026-01-13,3.8986111111111112,105
944,423,2026-01-13,3.901388888888889,105
816,423,2026-01-13,3.904166666666667,105
704,423,2026-01-13,3.9069444444444446,105
732,423,2026-01-13,3.9097222222222223,105
767,423,2026-01-13,3.9125,105
787,423,2026-01-13,3.915277777777778,105
783,423,2026-01-13,3.9180555555555556,105
780,423,2026-01-13,3.9208333333333334,105
903,423,2026-01-13,3.923611111111111,105
951,423,2026-01-13,3.926388888888889,105
866,423,2026-01-13,3.9291666666666667,105
777,423,2026-01-13,3.9319444444444445,105
771,423,2026-01-13,3.9347222222222227,105
748,423,2026-01-13,3.9375000000000004,105
710,423,2026-01-13,3.940277777777778,105
869,422,2026-01-13,3.943055555555556,105
924,422,2026-01-13,3.9458333333333337,105
864,422,2026-01-13,3.9486111111111115,105
749,422,2026-01-13,3.9513888888888893,105
754,422,2026-01-13,3.954166666666667,105
925,422,2026-01-13,3.956944444444445,105
910,422,2026-01-13,3.9597222222222226,105
827,422,2026-01-13,3.9625000000000004,105
824,422,2026-01-13,3.965277777777778,105
829,421,2026-01-13,3.968055555555556,105
871,421,2026-01-13,3.9708333333333337,105
861,421,2026-01-13,3.9736111111111114,105
860,421,2026-01-13,3.976388888888889,105
873,421,2026-01-13,3.979166666666667,105
868,421,2026-01-13,3.9819444444444447,105
833,421,2026-01-13,3.9847222222222225,105
789,421,2026-01-13,3.9875000000000003,105
828,421,2026-01-13,3.990277777777778,105
780,421,2026-01-13,3.993055555555556,105
792,421,2026-01-13,3.9958333333333336,105
866,421,2026-01-13,3.9986111111111113,105
